,0,1,2,3,4
2451,"""12 Monkeys""",(2015),Hamilton, Ontario,"(43.2560802, -79.8728583)"
2454,"""A hombros de gigantes""",(2015),Buenos Aires, Federal District,"(-34.6075682, -58.4370894)"
2526,"""1945: 12 Städte, 12 Schicksale""",(2015),Bühl, Baden-Württemberg,"(48.7253, 7.0853)"
2535,"""1945: 12 Städte, 12 Schicksale""",(2015),Dillingen an der Donau, Bavaria,"(48.5812458, 10.4952243)"
2569,"""1945: 12 Städte, 12 Schicksale""",(2015),Linz, Upper Austria,"(48.3059078, 14.286198)"
2576,"""A Is for Apple""",(2015),Ottawa, Ontario,"(45.421106, -75.690308)"
2585,"""800 Words""",(2015),40 Queen Street, Warkworth,"(46.79197557020924, -64.06606608653705)"
2587,"""2030""",(2015),Tbilisi, Georgia,"(41.6934591, 44.8014495)"
2614,"""A Copa do Mundo no Recife""",(2015),Recife, Pernambuco,"(-8.0584933, -34.8848193)"
2622,"""1945: 12 Städte, 12 Schicksale""",(2015),Nijmegen, Gelderland,"(51.842574850000005, 5.838960628748229)"
2626,"""A Única Mulher""",(2015),Cabo Ledo, Angola,"(-9.6556666, 13.2388885)"
2636,"""3x3 the Immersive Fiction""",(2015),Paris, France,"(48.8566969, 2.3514616)"
2640,"""1945: 12 Städte, 12 Schicksale""",(2015),Cologne, Westphalia,"(50.938361, 6.959974)"
2649,"""1945: 12 Städte, 12 Schicksale""",(2015),Birmingham, West Midlands,"(52.4796992, -1.9026911)"
2671,"""A Gay and a Girl""",(2015),Toronto, Ontario,"(43.6534817, -79.3839347)"
2692,"""A Decade On""",(2015),E-Kid-na Cottage, Artarmon NSW,"(-33.8094124, 151.1857609)"
2695,"""A Year in Space""",(2015),International Space Station, Earth Orbit,"(29.5517223, -95.0985272)"
2701,"""A Book a City""",(2015),Paris, France,"(48.8566969, 2.3514616)"
2729,"""1945: 12 Städte, 12 Schicksale""",(2015),Breslau, Poland,"(51.1263106, 16.97819633051261)"
2750,"""1945: 12 Städte, 12 Schicksale""",(2015),Vogelsang, Köln,"(53.7245663, 14.1643535)"
2756,"""12 Monkeys""",(2015),E. Samuels Development building - Bot Construction Group warehouse, Oakville,"(43.447436, -79.666672)"
2782,"""1945: 12 Städte, 12 Schicksale""",(2015),Bayerische Hochalpen, Bayern,"(48.9467562, 11.4038717)"
2785,"""9-2-5""",(2015),Atlanta, Georgia,"(33.7489924, -84.3902644)"
2794,"""#KateConwayisaJerk""",(2015),Gooderham Building, 49 Wellington Street East,"(43.648366800000005, -79.37439532076982)"
2804,"""1945: 12 Städte, 12 Schicksale""",(2015),Munich, Bavaria,"(48.1371079, 11.5753822)"
2853,"""1945: 12 Städte, 12 Schicksale""",(2015),Poland,,"(52.215933, 19.134422)"
2861,"""1945: 12 Städte, 12 Schicksale""",(2015),Prague, Czech Republic,"(50.0874654, 14.4212535)"
2863,"""12 Monkeys""",(2015),Detroit, Michigan,"(42.3315509, -83.0466403)"
2865,"""#15SecondScare""",(2015),Coventry, West Midlands,"(52.4081812, -1.510477)"
2882,"""2 Old Goats on Hogs""",(2015),Kerrville, Texas,"(30.0474688, -99.1400207)"
2886,"""1945: 12 Städte, 12 Schicksale""",(2015),Augsburg, Bavaria,"(48.3668041, 10.8986971)"
2894,"""A job. A wife. A life.""",(2015),Boca Raton, Florida,"(26.3586885, -80.0830984)"
2904,"""1945: 12 Städte, 12 Schicksale""",(2015),Westerbork Transit Camp, Netherlands,"(52.5001698, 5.7480821)"
2923,"""7 Todsünden""",(2015),Palais Schaumburg-Lippe, Salzburg,"(47.7981346, 13.0464806)"
2945,"""1945: 12 Städte, 12 Schicksale""",(2015),Salzburg, Austria,"(47.7981346, 13.0464806)"
2960,"""1945: 12 Städte, 12 Schicksale""",(2015),Dahlem, Berlin,"(52.4573805, 13.2810976)"
2968,"""2 Old Goats on Hogs""",(2015),Austin, Texas,"(30.2711286, -97.7436995)"
2990,"""120 Seconds""",(2015),Bootleg Theater - 2220 Beverly Boulevard, Westlake,"(32.991226, -97.1943701)"
3039,"""52%""",(2015),Liverpool, England,"(53.407154, -2.991665)"
3059,"""1945: 12 Städte, 12 Schicksale""",(2015),Völkerschlachtdenkmal, Leipzig,"(51.3124744, 12.413515851638085)"
3103,"""1945: 12 Städte, 12 Schicksale""",(2015),Mainz, Rhineland-Palatinate,"(50.0012314, 8.2762513)"
3104,"""1945: 12 Städte, 12 Schicksale""",(2015),Volgograd, Russia,"(48.7081906, 44.5153353)"
3111,"""A Dark Tale""",(2015),Los Angeles, California,"(34.0536909, -118.242766)"
3148,"""1945: 12 Städte, 12 Schicksale""",(2015),Wiesbaden, Hessen,"(50.0820384, 8.2416556)"
3175,"""1945: 12 Städte, 12 Schicksale""",(2015),Feldherrnhalle München, Munich,"(48.141677599999994, 11.577316001534307)"
3180,"""A Book a City""",(2015),Hong Kong,,"(22.2793278, 114.1628131)"
3184,"""1945: 12 Städte, 12 Schicksale""",(2015),Volkspark Rehberge, Brandenburg,"(52.55191645, 13.33048309424044)"
3187,"""12 Monkeys""",(2015),Budapest, Hungary,"(47.4983815, 19.0404707)"
3194,"""A Very British Romance""",(2015),Assembly Rooms, Bath,"(51.5509861, -0.1404214)"
3198,"""$tripped""",(2015),Riviera Hotel & Casino - 2901 Las Vegas Boulevard South, Las Vegas,"(36.1672559, -115.1485163)"
3202,"""1945: 12 Städte, 12 Schicksale""",(2015),Enschede, Overijssel,"(52.2209855, 6.8940537)"
3203,"""1945: 12 Städte, 12 Schicksale""",(2015),Auschwitz-Birkenau Concentration Camp, Oswiecim,"(50.03890605, 19.171298357759902)"
